SP,WT
104.1853528,28.7620589
105.4612635,30.46683298
105.4612635,30.19359657
113.4612635,30.63211391
104.4612635,29.88914864
113.1853528,29.59176832
105.4612635,30.30847957
102.5985128,15.84775807
102.5985128,16.35948352
115.6452041,30.92015417
111.1853528,29.36334142
117.5985128,15.75353468
122.1050553,32.81359241
111.1853528,29.3784363
108.1853528,29.34727902
111.1853528,29.60452658
114.3692933,29.5357836
117.5985128,16.19412154
114.3692933,29.92939368
118.4729364,33.51697417
119.1050553,32.32464971
110.8408174,34.90821127
120.2889958,32.6758277
113.8291446,31.83712236
119.1853528,28.78172789
114.5985128,16.04317492
120.7605199,38.06282335
119.1050553,32.83506939
99.56490661,34.4832075
121.8408174,35.54935984
113.4846092,37.04235003
112.2889958,33.23436141
119.9211148,31.38004084
121.3926389,37.57328965
111.2889958,32.701644
115.0130851,31.9112234
114.0933825,28.75400008
116.909442,27.87991549
116.909442,28.63050247
128.4612635,30.11543403
116.3926389,37.39252442
115.7488471,35.02717556
117.4612635,30.52742698
114.0933825,28.34397592
114.3809661,33.07863163
117.1050553,32.62191589
118.2086984,36.49861738
116.4729364,33.91005598
127.909442,28.07059654
118.2889958,33.45847152
118.2889958,33.21395395
118.2889958,33.43671117
120.4043117,40.39816357
143.3926389,37.62069475
135.3926389,37.25439197
126.4043117,40.58906845
110.4612635,30.14754329
118.2889958,32.73451818
112.6452041,30.61528334
115.5765794,37.66287367
130.2086984,36.88815313
117.6685497,37.86041143
126.0481035,43.3909885
125.3123415,40.72283115
128.128401,40.15948186
126.5985128,15.71285853
132.4846092,37.97995604
133.6802225,41.57397476
133.3123415,40.47204238
158.3006687,37.14173328
164.5985128,15.82306042
133.4159845,44.01313857
133.1400738,43.35312292
124.7152409,52.99775236
121.864163,42.61869847
132.864163,42.77821864
169.5985128,16.13294744
150.5765794,37.92311321
151.5985128,15.76962542
167.9444604,39.42309899
139.8408174,34.94861469
